infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;True;-1;1;259;1771;0.8333333333333334;0.03861003861003861;0.03861003861003861;0.07380073800738007;0.07380073800738007;259.0;259.0;10.0;12;12.0;0;12.0;0.0
dk;incremental;True;-1;2;234;3778;0.6363636363636364;0.05982905982905983;0.05982905982905983;0.109375;0.109375;234.0;234.0;14.0;22;22.0;0;22.0;0.0
dk;incremental;True;-1;3;252;1460;0.6206896551724138;0.07142857142857142;0.07142857142857142;0.12811387900355872;0.12811387900355872;252.0;252.0;18.0;29;29.0;0;29.0;0.0
dk;incremental;True;-1;4;236;5826;0.5151515151515151;0.07203389830508475;0.07203389830508475;0.12639405204460966;0.12639405204460966;236.0;236.0;17.0;33;33.0;0;33.0;0.0
dk;incremental;True;-1;5;242;0;0.6388888888888888;0.09504132231404959;0.09504132231404959;0.16546762589928057;0.16546762589928057;242.0;242.0;23.0;36;36.0;0;36.0;0.0
dk;incremental;True;-1;6;225;2972;0.6857142857142857;0.10666666666666667;0.10666666666666667;0.18461538461538463;0.18461538461538463;225.0;225.0;24.0;35;35.0;0;35.0;0.0
dk;incremental;True;-1;7;247;0;0.6829268292682927;0.11336032388663968;0.11336032388663968;0.19444444444444445;0.19444444444444445;247.0;247.0;28.0;41;41.0;0;41.0;0.0
dk;incremental;True;-1;8;241;0;0.7083333333333334;0.14107883817427386;0.14107883817427386;0.23529411764705882;0.23529411764705882;241.0;241.0;34.0;48;48.0;0;48.0;0.0
dk;incremental;True;-1;9;239;0;0.5652173913043478;0.1087866108786611;0.1087866108786611;0.18245614035087718;0.18245614035087718;239.0;239.0;26.0;46;46.0;0;46.0;0.0
dk;incremental;True;-1;10;274;0;0.7551020408163265;0.13503649635036497;0.13503649635036497;0.22910216718266255;0.22910216718266255;274.0;274.0;37.0;49;49.0;0;49.0;0.0
dk;incremental;True;-1;11;234;0;0.5714285714285714;0.11965811965811966;0.11965811965811966;0.1978798586572438;0.1978798586572438;234.0;234.0;28.0;49;49.0;0;49.0;0.0
