infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;True;-1;1;4;96;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;1.0;0;1.0;0.0
dk;incremental;True;-1;2;5;295;1.0;0.6666666666666666;1.0;0.8;1.0;4.0;6.0;4.0;5;4.0;0;4.0;0.0
dk;incremental;True;-1;3;4;296;0.5;0.2;0.5;0.28571428571428575;0.5;2.0;5.0;1.0;4;2.0;0;2.0;0.0
dk;incremental;True;-1;4;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
dk;incremental;True;-1;5;3;397;0.5;0.16666666666666666;0.5;0.25;0.5;2.0;6.0;1.0;3;2.0;0;2.0;0.0
dk;incremental;True;-1;6;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
dk;incremental;True;-1;7;9;1243;0.6666666666666666;0.18181818181818182;0.4;0.28571428571428575;0.5;5.0;11.0;2.0;3;3.0;0;3.0;0.0
dk;incremental;True;-1;8;12;1190;0.5;0.09090909090909091;0.25;0.15384615384615385;0.3333333333333333;4.0;11.0;1.0;3;2.0;0;2.0;0.0
dk;incremental;True;-1;9;11;1391;1.0;0.09090909090909091;0.3333333333333333;0.16666666666666669;0.5;3.0;11.0;1.0;2;1.0;0;1.0;0.0
dk;incremental;True;-1;10;15;1187;0.6666666666666666;0.25;0.5;0.36363636363636365;0.5714285714285715;8.0;16.0;4.0;6;6.0;0;6.0;0.0
dk;incremental;True;-1;11;22;2682;0.6666666666666666;0.1111111111111111;0.3333333333333333;0.1904761904761905;0.4444444444444444;6.0;18.0;2.0;7;3.0;0;3.0;0.0
dk;incremental;True;-1;12;19;2483;1.0;0.10526315789473684;0.4;0.1904761904761905;0.5714285714285715;5.0;19.0;2.0;4;2.0;0;2.0;0.0
dk;incremental;True;-1;13;18;2184;0.5;0.05;0.2;0.09090909090909091;0.28571428571428575;5.0;20.0;1.0;3;2.0;0;2.0;0.0
dk;incremental;True;-1;14;20;2382;0.5;0.08695652173913043;0.2857142857142857;0.14814814814814817;0.36363636363636365;7.0;23.0;2.0;5;4.0;0;4.0;0.0
dk;incremental;True;-1;15;21;2581;0.0;0.0;0.0;0;0;6.0;24.0;0.0;3;2.0;0;2.0;0.0
dk;incremental;True;-1;16;23;2779;0.3333333333333333;0.037037037037037035;0.14285714285714285;0.06666666666666667;0.2;7.0;27.0;1.0;5;3.0;0;3.0;0.0
dk;incremental;True;-1;17;20;2982;1.0;0.037037037037037035;0.2;0.07142857142857142;0.33333333333333337;5.0;27.0;1.0;2;1.0;0;1.0;0.0
dk;incremental;True;-1;18;22;3180;0.3333333333333333;0.03333333333333333;0.14285714285714285;0.0606060606060606;0.2;7.0;30.0;1.0;4;3.0;0;3.0;0.0
