infer_mode;features;train_using_all_batches;skip_training_starting_batch;batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;repairs_on_correct_cells;repairs_on_incorrect_cells;rmse
dk;incremental;True;-1;1;6;34;0;0.0;0.0;0;0;1.0;8.0;0.0;2;0;0;0;0.0
dk;incremental;True;-1;2;1;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
dk;incremental;True;-1;3;14;128;0.0;0.0;0.0;0;0;1.0;3.0;0.0;5;1.0;1.0;0;0.0
dk;incremental;True;-1;4;36;330;1.0;0.625;1.0;0.7692307692307693;1.0;5.0;8.0;5.0;9;5.0;0;5.0;0.0
dk;incremental;True;-1;5;31;452;1.0;0.25;0.25;0.4;0.4;4.0;4.0;1.0;4;1.0;0;1.0;0.0
dk;incremental;True;-1;6;21;432;1.0;0.4;0.5;0.5714285714285715;0.6666666666666666;4.0;5.0;2.0;7;2.0;0;2.0;0.0
dk;incremental;True;-1;7;23;641;1.0;0.42857142857142855;0.6;0.6;0.7499999999999999;5.0;7.0;3.0;6;3.0;0;3.0;0.0
dk;incremental;True;-1;8;27;675;1.0;0.5;1.0;0.6666666666666666;1.0;2.0;4.0;2.0;9;2.0;0;2.0;0.0
dk;incremental;True;-1;9;19;783;1.0;0.4;0.5;0.5714285714285715;0.6666666666666666;4.0;5.0;2.0;3;2.0;0;2.0;0.0
dk;incremental;True;-1;10;26;875;1.0;0.3333333333333333;0.3333333333333333;0.5;0.5;3.0;3.0;1.0;8;1.0;0;1.0;0.0
dk;incremental;True;-1;11;35;1169;1.0;0.3333333333333333;0.3333333333333333;0.5;0.5;6.0;6.0;2.0;2;2.0;0;2.0;0.0
dk;incremental;True;-1;12;30;1405;1.0;0.6666666666666666;0.8;0.8;0.888888888888889;5.0;6.0;4.0;6;4.0;0;4.0;0.0
dk;incremental;True;-1;13;42;1644;1.0;0.45454545454545453;0.625;0.625;0.7692307692307693;8.0;11.0;5.0;7;5.0;0;5.0;0.0
dk;incremental;True;-1;14;30;1404;1.0;0.25;0.5;0.4;0.6666666666666666;2.0;4.0;1.0;3;1.0;0;1.0;0.0
dk;incremental;True;-1;15;31;1658;1.0;0.6666666666666666;0.8;0.8;0.888888888888889;5.0;6.0;4.0;7;4.0;0;4.0;0.0
dk;incremental;True;-1;16;38;2222;1.0;0.625;0.7142857142857143;0.7692307692307693;0.8333333333333333;7.0;8.0;5.0;6;5.0;0;5.0;0.0
dk;incremental;True;-1;17;42;2047;1.0;0.4;0.5;0.5714285714285715;0.6666666666666666;4.0;5.0;2.0;5;2.0;0;2.0;0.0
dk;incremental;True;-1;18;36;1842;1.0;0.5;1.0;0.6666666666666666;1.0;1.0;2.0;1.0;1;1.0;0;1.0;0.0
dk;incremental;True;-1;19;29;2145;1.0;0.6;1.0;0.7499999999999999;1.0;3.0;5.0;3.0;4;3.0;0;3.0;0.0
dk;incremental;True;-1;20;37;2445;1.0;1.0;1.0;1.0;1.0;3.0;3.0;3.0;5;3.0;0;3.0;0.0
dk;incremental;True;-1;21;38;2570;1.0;0.6666666666666666;0.8;0.8;0.888888888888889;5.0;6.0;4.0;6;4.0;0;4.0;0.0
dk;incremental;True;-1;22;54;2690;1.0;0.5833333333333334;0.7777777777777778;0.7368421052631579;0.8750000000000001;9.0;12.0;7.0;8;7.0;0;7.0;0.0
dk;incremental;True;-1;23;26;3061;1.0;0.75;1.0;0.8571428571428571;1.0;3.0;4.0;3.0;6;3.0;0;3.0;0.0
dk;incremental;True;-1;24;42;3186;1.0;1.0;1.0;1.0;1.0;5.0;5.0;5.0;7;5.0;0;5.0;0.0
dk;incremental;True;-1;25;34;2857;1.0;0.8571428571428571;1.0;0.923076923076923;1.0;6.0;7.0;6.0;9;6.0;0;6.0;0.0
dk;incremental;True;-1;26;27;2978;1.0;1.0;1.0;1.0;1.0;3.0;3.0;3.0;6;3.0;0;3.0;0.0
dk;incremental;True;-1;27;43;3865;1.0;0.75;0.8571428571428571;0.8571428571428571;0.923076923076923;7.0;8.0;6.0;8;6.0;0;6.0;0.0
dk;incremental;True;-1;28;58;4004;1.0;0.875;1.0;0.9333333333333333;1.0;7.0;8.0;7.0;8;7.0;0;7.0;0.0
dk;incremental;True;-1;29;49;3327;1.0;0.6;1.0;0.7499999999999999;1.0;3.0;5.0;3.0;3;3.0;0;3.0;0.0
dk;incremental;True;-1;30;48;4023;0.875;0.875;1.0;0.875;0.9333333333333333;7.0;8.0;7.0;10;8.0;1.0;7.0;0.0
dk;incremental;True;-1;31;39;4167;1.0;0.8333333333333334;1.0;0.9090909090909091;1.0;5.0;6.0;5.0;6;5.0;0;5.0;0.0
dk;incremental;True;-1;32;28;2148;1.0;0.75;1.0;0.8571428571428571;1.0;3.0;4.0;3.0;3;3.0;0;3.0;0.0
dk;incremental;True;-1;33;54;4445;1.0;0.6666666666666666;1.0;0.8;1.0;8.0;12.0;8.0;12;8.0;0;8.0;0.0
dk;incremental;True;-1;34;42;5248;1.0;1.0;1.0;1.0;1.0;3.0;3.0;3.0;6;3.0;0;3.0;0.0
dk;incremental;True;-1;35;41;4386;0.6666666666666666;1.0;1.0;0.8;0.8;2.0;2.0;2.0;3;3.0;1.0;2.0;0.0
dk;incremental;True;-1;36;35;4522;0.5;0.4;1.0;0.4444444444444445;0.6666666666666666;2.0;5.0;2.0;6;4.0;2.0;2.0;0.0
dk;incremental;True;-1;37;35;3566;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;4;2.0;0;2.0;0.0
dk;incremental;True;-1;38;42;5143;1.0;0.75;1.0;0.8571428571428571;1.0;6.0;8.0;6.0;10;6.0;0;6.0;0.0
dk;incremental;True;-1;39;40;4531;1.0;1.0;1.0;1.0;1.0;6.0;6.0;6.0;7;6.0;0;6.0;0.0
dk;incremental;True;-1;40;41;5425;1.0;1.0;1.0;1.0;1.0;6.0;6.0;6.0;8;6.0;0;6.0;0.0
dk;incremental;True;-1;41;29;4775;1.0;0.8;1.0;0.888888888888889;1.0;4.0;5.0;4.0;4;4.0;0;4.0;0.0
dk;incremental;True;-1;42;34;4483;1.0;0.5;0.6;0.6666666666666666;0.7499999999999999;5.0;6.0;3.0;5;3.0;0;3.0;0.0
dk;incremental;True;-1;43;38;5430;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;4;2.0;0;2.0;0.0
dk;incremental;True;-1;44;45;3831;1.0;1.0;1.0;1.0;1.0;3.0;3.0;3.0;3;3.0;0;3.0;0.0
dk;incremental;True;-1;45;38;6127;1.0;1.0;1.0;1.0;1.0;3.0;3.0;3.0;6;3.0;0;3.0;0.0
dk;incremental;True;-1;46;33;4919;0.5;0.5;1.0;0.5;0.6666666666666666;1.0;2.0;1.0;6;2.0;1.0;1.0;0.0
dk;incremental;True;-1;47;42;6864;1.0;1.0;1.0;1.0;1.0;5.0;5.0;5.0;6;5.0;0;5.0;0.0
dk;incremental;True;-1;48;37;5607;1.0;1.0;1.0;1.0;1.0;5.0;5.0;5.0;6;5.0;0;5.0;0.0
dk;incremental;True;-1;49;31;5727;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;3;2.0;0;2.0;0.0
dk;incremental;True;-1;50;44;6826;1.0;0.7142857142857143;1.0;0.8333333333333333;1.0;5.0;7.0;5.0;5;5.0;0;5.0;0.0
dk;incremental;True;-1;51;35;5472;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;0;1.0;0.0
dk;incremental;True;-1;52;42;6080;1.0;1.0;1.0;1.0;1.0;3.0;3.0;3.0;3;3.0;0;3.0;0.0
dk;incremental;True;-1;53;59;6183;1.0;1.0;1.0;1.0;1.0;7.0;7.0;7.0;9;7.0;0;7.0;0.0
dk;incremental;True;-1;54;44;5270;1.0;0.8571428571428571;1.0;0.923076923076923;1.0;6.0;7.0;6.0;8;6.0;0;6.0;0.0
dk;incremental;True;-1;55;39;5901;0.8;0.8;1.0;0.8000000000000002;0.888888888888889;4.0;5.0;4.0;6;5.0;1.0;4.0;0.0
dk;incremental;True;-1;56;29;4927;1.0;1.0;1.0;1.0;1.0;3.0;3.0;3.0;3;3.0;0;3.0;0.0
